"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "Markdown", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"d:\Projects\select_iq\README.md", "Markdown", 0, 0, 0, 144, 0, 0, 0, 0, 43, 187
"d:\Projects\select_iq\app\(main)\_components\AppSidebar.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 62, 11, 158
"d:\Projects\select_iq\app\(main)\dashboard\_components\CreateOptions.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Projects\select_iq\app\(main)\dashboard\_components\LatestInterviewsList.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Projects\select_iq\app\(main)\dashboard\_components\WelcomeContainer.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Projects\select_iq\app\(main)\dashboard\create-interview\_components\FormContainer.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 0, 0, 1, 22, 102
"d:\Projects\select_iq\app\(main)\dashboard\create-interview\_components\InterviewLink.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 0, 0, 55, 39, 184
"d:\Projects\select_iq\app\(main)\dashboard\create-interview\_components\QuestionList.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 0, 320, 71, 479
"d:\Projects\select_iq\app\(main)\dashboard\create-interview\_components\QuestionListContainer.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 27, 8, 56
"d:\Projects\select_iq\app\(main)\dashboard\create-interview\page.jsx", "JavaScript JSX", 61, 0, 0, 0, 0, 0, 0, 16, 27, 104
"d:\Projects\select_iq\app\(main)\dashboard\page.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
"d:\Projects\select_iq\app\(main)\layout.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 16, 11, 57
"d:\Projects\select_iq\app\(main)\provider.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Projects\select_iq\app\api\ai-feedback\route.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Projects\select_iq\app\api\ai-model\route.jsx", "JavaScript JSX", 131, 0, 0, 0, 0, 0, 0, 240, 82, 453
